StudyID,Correlation,Directionality (positive or negative - because excel thinks I want to calculate something if I start with minus sign),SignificanceLevel<than,Nonsignificant,N,Variable1,Measure1,Variable2,Measure2,Same_variable,Type_Same,InPaper (as opposed to supplementary material),"InTable (1 in table, 0 in text)","type_p(1: p=, 2: p<, 3: p>)",MainCor,corr_Type(when different),ProvisionallySuspicious,Corr_Comments,N as range
1,.13,P,,1,152,Father dyadic time difference,,Mother dyadic time average,,,,0,1,2,,,,,
1,.13,N,,1,152,Parental Fairness,,Mother dyadic time average,,,,0,1,2,,,,,
1,.06,N,,1,152,Dyadic attainment,,Father warmth average,,,,0,1,2,1,,,,
1,.04,N,,1,152,Sibling dyadic time,,Father warmth average,,,,0,1,2,,,,,
1,.05,P,,1,152,Mother warmth difference,,Father warmth average,,,,0,1,2,,,,,
1,.01,N,,1,152,Mother dyadic time difference,,Father warmth average,,,,0,1,2,,,,,
1,.10,N,,1,152,father warmth difference,,Father warmth average,,,,0,1,2,,,,,
1,.05,P,,1,152,Father dyadic time difference,,Father warmth average,,,,0,1,2,,,,,
1,.12,N,,1,152,Mother dyadic time average,,Father warmth average,,,,0,1,2,,,,,
1,.00,0,,1,152,Dyadic attainment,,Father dyadic time average,,,,0,1,2,1,,,,
1,.02,P,,1,152,Sibling warmth,,Father dyadic time average,,,,0,1,2,,,,,
1,.02,N,,1,152,Sibling dyadic time,,Father dyadic time average,,,,0,1,2,,,,,
1,.13,N,,1,152,Mother warmth difference,,Father dyadic time average,,,,0,1,2,,,,,
1,.03,P,,1,152,Mother dyadic time difference,,Father dyadic time average,,,,0,1,2,,,,,
1,.01,P,,1,152,father warmth difference,,Father dyadic time average,,,,0,1,2,,,,,
1,.00,N,,1,152,Parental Fairness,,Father dyadic time average,,,,0,1,2,,,,,
1,.02,P,,1,152,Mother warmth average,,Father dyadic time average,,,,0,1,2,,,,,
1,.15,P,,1,152,Mother dyadic time average,,Father dyadic time average,,,,0,1,2,,,,,
1,.01,N,,1,152,Father warmth average,,Father dyadic time average,,,,0,1,2,,,,,
1,.11,N,,1,152,Dyadic attainment,,parents education,,,,0,1,2,,,,,
1,.06,N,,1,152,Sibling warmth,,parents education,,,,0,1,2,,,,,
1,.04,N,,1,152,Sibling dyadic time,,parents education,,,,0,1,2,,,,,
1,.10,N,,1,152,Mother warmth difference,,parents education,,,,0,1,2,,,,,
1,.12,N,,1,152,mother dyadic time difference,,parents education,,,,0,1,2,,,,,
1,.03,P,,1,152,father warmth difference,,parents education,,,,0,1,2,,,,,
1,.02,N,,1,152,Father dyadic time difference,,parents education,,,,0,1,2,,,,,
1,.09,P,,1,152,Parental Fairness,,parents education,,,,0,1,2,,,,,
1,.07,P,,1,152,Mother warmth average,,parents education,,,,0,1,2,,,,,
1,.16,P,,1,152,Mother dyadic time average,,parents education,,,,0,1,2,,,,,
1,.05,P,,1,152,Father warmth average,,parents education,,,,0,1,2,,,,,
1,.12,P,,1,152,father dyadict time average,,parents education,,,,0,1,2,,,,,
1,.09,N,,1,152,Dyadic attainment,,parents age,,,,0,1,2,,,,,
1,.08,P,,1,152,Sibling warmth,,parents age,,,,0,1,2,,,,,
1,.07,P,,1,152,Sibling dyadic time,,parents age,,,,0,1,2,,,,,
1,.04,N,,1,152,Mother warmth difference,,parents age,,,,0,1,2,,,,,
1,.02,N,,1,152,Mother dyadic time difference,,parents age,,,,0,1,2,,,,,
1,.02,N,,1,152,father warmth difference,,parents age,,,,0,1,2,,,,,
1,.12,P,,1,152,father dyadict time average,,parents age,,,,0,1,2,,,,,
1,.02,N,,1,152,Parental Fairness,,parents age,,,,0,1,2,,,,,
1,.03,P,,1,152,Mother warmth average,,parents age,,,,0,1,2,,,,,
1,.05,P,,1,152,Father warmth average,,parents age,,,,0,1,2,,,,,
1,.08,N,,1,152,Mother warmth difference,,Dyad sex constellation,,,,0,1,2,,,,,
1,.08,P,,1,152,mother dyadic time difference,,Dyad sex constellation,,,,0,1,2,,,,,
1,.04,N,,1,152,father warmth difference,,Dyad sex constellation,,,,0,1,2,,,,,
1,.13,N,,1,152,Parental Fairness,,Dyad sex constellation,,,,0,1,2,,,,,
1,.01,N,,1,152,Mother warmth average,,Dyad sex constellation,,,,0,1,2,,,,,
1,.03,P,,1,152,Father warmth average,,Dyad sex constellation,,,,0,1,2,,,,,
1,.07,P,,1,152,parents education,,Dyad sex constellation,,,,0,1,2,,,,,
1,.03,P,,1,152,parents age,,Dyad sex constellation,,,,0,1,2,,,,,
1,.11,N,,1,152,Dyadic attainment,,Sibling GPA average,,,,0,1,2,,,,,
1,.13,N,,1,152,Sibling dyadic time,,Sibling GPA average,,,,0,1,2,,,,,
1,.00,N,,1,152,Mother warmth difference,,Sibling GPA average,,,,0,1,2,,,,,
1,.11,N,,1,152,Mother dyadic time difference,,Sibling GPA average,,,,0,1,2,,,,,
1,.00,0,,1,152,father warmth difference,,Sibling GPA average,,,,0,1,2,,,,,
1,.00,0,,1,152,father dyadic time difference,,Sibling GPA average,,,,0,1,2,,,,,
1,.08,P,,1,152,mother dyadic time average,,Sibling GPA average,,,,0,1,2,,,,,
1,.12,P,,1,152,father dyadict time average,,Sibling GPA average,,,,0,1,2,,,,,
1,.08,P,,1,152,dyad sex constellation,,Sibling GPA average,,,,0,1,2,,,,,
1,.02,N,,1,152,Sibling dyadic time,,Sibling GPA difference,,,,0,1,2,,,,,
1,.06,N,,1,152,Mother warmth difference,,Sibling GPA difference,,,,0,1,2,,,,,
1,.02,N,,1,152,father warmth difference,,Sibling GPA difference,,,,0,1,2,,,,,
1,.03,N,,1,152,Father dyadic time difference,,Sibling GPA difference,,,,0,1,2,,,,,
1,.07,N,,1,152,Mother warmth average,,Sibling GPA difference,,,,0,1,2,,,,,
1,.04,N,,1,152,Mother dyadic time average,,Sibling GPA difference,,,,0,1,2,,,,,
1,.10,N,,1,152,Father dyadic time average,,Sibling GPA difference,,,,0,1,2,,,,,
1,.01,N,,1,152,dyad sex constellation,,Sibling GPA difference,,,,0,1,2,,,,,
2,.73,P,0.0001,,90,Number of items in free and guided recall,,Verbal ability,WPPSI-III,,,1,0,2,,,,"N different from tpf -> ""the analysis concerning
Memory for Maxi was based on data from 90 children
(five cases removed due to missing data)""",
3,.37,P,0.005,,59,Number of items in free and guided recall,,Children's age,,,,1,0,2,,,,,
3,.33,P,0.05,,59,Number of items in free and guided recall,,Verbal ability,WPPSI-IV,,,1,0,2,,,,interestingly different in comparison to study 2,
4,.11,P,0.05,,344,Gender,,Age,,,,1,1,2,,,,,
4,.21,P,0.01,,344,Gender,,"Recruitment strategy (in school, on facebook)",,,,1,1,2,,,,,
4,.30,P,0.01,,344,Age,,"Recruitment strategy (in school, on facebook)",,,,1,1,2,,,,,
4,.11,P,0.05,,344,Gender,,Peer-perpetrated racial discrimination,"Adolescents’ peer perpetrator experiences. The 21-
item measure assessed overt racial discrimination
experiences from peers in school settings (Way,
1997).",,,1,1,2,1,,,,
4,.29,P,0.01,,344,Age,,Peer-perpetrated racial discrimination,,,,1,1,2,,,,,
4,.46,P,0.01,,344,Recruitment strategy,,Peer-perpetrated racial discrimination,,,,1,1,2,,,,,
4,.16,P,0.05,,344,Gender,,Adult-perpetrated racial discrimination,"The 19-
item measure assessed overt racial discrimination
experiences from unknown adults outside of school
settings (Way, 1997).",,,1,1,2,1,,,,
4,.32,P,0.01,,344,Age,,Adult-perpetrated racial discrimination,,,,1,1,2,,,,,
4,.36,P,0.01,,344,Recruitment strategy,,Adult-perpetrated racial discrimination,,,,1,1,2,,,,,
4,.78,P,0.01,,344,Peer-perpetrated racial discrimination,,Adult-perpetrated racial discrimination,,,,1,1,2,,,,,
5,.31,N,0.05,,72,Race or ethnicity,,Family income,,,,1,1,2,,,,,
5,.30,P,0.05,,72,Race or ethnicity,,Contact-LW,Reported Contact With Low-Wealth Individuals,,,1,1,2,,,,,
5,.31,P,0.01,,72,Race or ethnicity,,Contact-HW,Reported Contact With High-Wealth Individuals,,,1,1,2,,,,same magnitude as race or ethnicityxfamily income but different significance,
5,.27,N,0.05,,72,Family income,,Contact-HW,,,,1,1,2,,,,,
5,.53,P,0.01,,72,Contact-LW,,Contact-HW,,,,1,1,2,,,,,
5,.47,P,0.01,,72,Age,,Resouce allocation,"the number of erasers distributed
to the low-wealth peer in resource allocation game",,,1,1,2,,,,,
5,.33,P,0.01,,72,Contact-LW,,Resouce allocation,,,,1,1,2,1,,,,
5,.28,P,0.05,,72,Contact-HW,,Resouce allocation,,,,1,1,2,1,,,,
5,.06,N,,1,72,age,,gender,,,,1,1,2,,,,,
5,.05,N,,1,72,age,,race or ethnicity,,,,1,1,2,,,,,
5,.21,N,,1,72,gender,,race or ethnicity,,,,1,1,2,,,,,
5,.01,N,,1,72,age,,Family income,,,,1,1,2,,,,,
5,.06,P,,1,72,gender,,Family income,,,,1,1,2,,,,,
5,.07,P,,1,72,age,,contact-LW,,,,1,1,2,,,,,
5,.06,N,,1,72,gender,,contact-LW,,,,1,1,2,,,,,
5,.06,N,,1,72,Family income,,contact-LW,,,,1,1,2,,,,,
5,.05,P,,1,72,age,,Contact-HW,,,,1,1,2,,,,,
5,.14,N,,1,72,gender,,Contact-HW,,,,1,1,2,,,,,
5,.08,P,,1,72,gender,,Resouce allocation,,,,1,1,2,,,,,
5,.09,P,,1,72,Race or ethnicity,,Resouce allocation,,,,1,1,2,,,,,
5,.11,N,,1,72,Family income,,Resouce allocation,,,,1,1,2,,,,,
5,.13,N,.26,1,72,wealth preferences,"""Which kid do you like more?""",Contact-LW,,,,1,0,1,,,,p=.26 not <,
5,.04,P,.73,1,72,wealth preferences,,Contact-HW,,,,1,0,1,,,,p=.73 not <,
5,.02,N,.89,1,72,perceptions,"""Which kid has more toys at home?""",Contact-LW,,,,1,0,1,,,,p=.89 not <,
5,.18,P,.12,1,72,perceptions,,Contact-HW,,,,1,0,1,,,,p=.12,
6,.11,N,0.05,,674,Parental warmth,"Behavioral
Affective Rating Scale (BARS; Conger, 1989a), the Iowa Parenting Scale (IPS; Conger, 1989b)",Relational aggression age x,,,,1,1,2,,,,"not sure what age, not mentioned",
6,.29,N,0.05,,674,Parental warmth,,Relational aggression age y,,,,1,1,2,,,,"not sure what age, not mentioned",
6,.30,N,0.05,,674,Parental monitoring age 10,"Parental Monitoring of Child Scale (PMC; Small &
Kerns, 1993)",Relational aggression age 10,"nine-item scale (adapted
from Kokkinos & Panayiotou, 2004; Neary &
Joseph, 1994; Prinstein, Boergers, & Vernberg, 2001)",,,1,1,2,,,,,
6,.19,N,0.05,,674,Parental monitoring age 12,,Relational aggression age 12,,,,1,1,2,,,,,
6,.11,N,0.05,,674,Parental monitoring age 14,,Relational aggression age 14,,,,1,1,2,,,,,
6,.10,N,0.05,,674,Parental monitoring age 16,,Relational aggression age 16,,,,1,1,2,,,,,
6,.24,P,0.05,,674,Sibling antisocial behaviour age 10,"23-item antisocial behavior
scale for both siblings and peers. The scale,
adapted from Thornberry, Lizotte, Krohn, Farnworth,
and Jang (1994), Elliott (1990), and Pillen
and Hoewing-Roberson (1992)",Relational aggression age 10,,,,1,1,2,,,,,
6,.38,P,0.05,,674,Sibling antisocial behaviour age 12,,Relational aggression age 12,,,,1,1,2,,,,,
6,.33,P,0.05,,674,Sibling antisocial behaviour age 14,,Relational aggression age 14,,,,1,1,2,,,,,
6,.51,P,0.05,,674,Peer antisocial behaviour at age 10,"23-item antisocial behavior
scale for both siblings and peers. The scale,
adapted from Thornberry, Lizotte, Krohn, Farnworth,
and Jang (1994), Elliott (1990), and Pillen
and Hoewing-Roberson (1992)",Relational aggression age 10,,,,1,1,2,,,,,
6,.44,P,0.05,,674,Peer antisocial behaviour at age 12,,Relational aggression age 12,,,,1,1,2,,,,,
6,.48,P,0.05,,674,Peer antisocial behaviour at age 14,,Relational aggression age 14,,,,1,1,2,,,,,
6,.31,P,0.05,,674,Peer antisocial behaviour at age 16,,Relational aggression age 16,,,,1,1,2,,,,,
6,.60,P,0.05,,674,parental monitoring age 10,,parental monitoring age 12,,1,time,1,1,2,,,,,
6,.69,P,0.05,,674,parental monitoring age 12,,parental monitoring age 14,,1,time,1,1,2,,,,,
6,.67,P,0.05,,674,parental monitoring age 14,,parental monitoring age 16,,1,time,1,1,2,,,,,
6,.47,P,0.05,,674,relational aggression age 10,,relational aggression age 12,,1,time,1,1,2,,,,,
6,.44,P,0.05,,674,relational aggression age 12,,relational aggression age 14,,1,time,1,1,2,,,,,
6,.49,P,0.05,,674,relational aggression age 14,,relational aggression age 16,,1,time,1,1,2,,,,,
6,.03,N,,1,674,parental monitoring age 12,,relational aggression age 10,,,,1,1,2,,,,,
6,.05,N,0.05,,674,parental monitoring age 10,,relational aggression age 12,,,,1,1,2,,,,,
6,.03,N,,1,674,relational aggression age 14,,relational aggression age 12,,,,1,1,2,,,,,
6,.06,N,0.05,,674,parental monitoring age 12,,relational aggression age 14,,,,1,1,2,,,,not entirely clear its negative,
6,.02,P,,1,674,parental monitoring age 16,,relational aggression age 14,,,,1,1,2,,,,,
6,.07,N,0.05,,674,parental monitoring age 14,,relational aggression age 16,,,,1,1,2,,,,,
6,.51,P,0.05,,674,sibling antisocial behaviour age 10,,sibling antisocial behaviour age 12,,1,time,1,1,2,,,,,
6,.47,P,0.05,,674,sibling antisocial behaviour age 12,,sibling antisocial behaviour age 14,,1,time,1,1,2,,,,,
6,.58,P,0.05,,674,sibling antisocial behaviour age 14,,sibling antisocial behaviour age 16,,1,time,1,1,2,,,,,
6,.41,P,0.05,,674,relational aggression age 10,,relational aggression age 12,,1,time,1,1,2,,,,,
6,.37,P,0.05,,674,relational aggression age 12,,relational aggression age 14,,1,time,1,1,2,,,,,
6,.42,P,0.05,,674,relational aggression age 14,,relational aggression age 16,,1,time,1,1,2,,,,,
6,.15,P,0.05,,674,sibling antisocial behaviour age 10,,relational aggression age 12,,,,1,1,2,,,,,
6,.10,P,0.05,,674,sibling antisocial behaviour age 12,,relational aggression age 10,,,,1,1,2,,,,,
6,.18,P,0.05,,674,sibling antisocial behaviour age 12,,relational aggression age 14,,,,1,1,2,,,,,
6,.07,P,0.05,,674,sibling antisocial behaviour age 14,,relational aggression age 12,,,,1,1,2,,,,,
6,.25,P,0.05,,674,sibling antisocial behaviour age 14,,relational aggression age 16,,,,1,1,2,,,,,
6,.07,P,0.05,,674,sibling antisocial behaviour 16,,relational aggression age 14,,,,1,1,2,,,,,
6,.05,P,,1,674,sibling antisocial behaviour 16,,relational aggression age 16,,,,1,1,2,,,,,
6,.42,P,0.05,,674,peer antisocial behaviour age 10,,peer antisocial behaviour age 12,,1,time,1,1,2,,,,,
6,.46,P,0.05,,674,peer antisocial behaviour age 12,,peer antisocial behaviour age 14,,1,time,1,1,2,,,,,
6,.61,P,0.05,,674,peer antisocial behaviour age 14,,peer antisocial behaviour age 16,,1,time,1,1,2,,,,,
6,.43,P,0.05,,674,relational aggression age 10,,relational aggression age 12,,1,time,1,1,2,,,,,
6,.39,P,0.05,,674,relational aggression age 12,,relational aggression age 14,,1,time,1,1,2,,,,,
6,.43,P,0.05,,674,relational aggression age 14,,relational aggression age 16,,1,time,1,1,2,,,,,
6,.05,P,0.05,,674,peer antisocial behaviour age 10,,relational aggression age 12,,,,1,1,2,,,,,
6,.02,N,,1,674,peer antisocial behaviour age 12,,relational aggression age 10,,,,1,1,2,,,,,
6,.06,P,0.05,,674,peer antisocial behaviour age 12,,relational aggression age 14,,,,1,1,2,,,,,
6,.01,N,,1,674,peer antisocial behaviour age 14,,relational aggression age 12,,,,1,1,2,,,,,
6,.13,P,0.05,,674,peer antisocial behaviour age 14,,relational aggression age 16,,,,1,1,2,,,,,
6,.01,N,,1,674,peer antisocial behaviour age 16,,relational aggression age 14,,,,1,1,2,,,,,
8,.19,P,0.05,,320,warmth-trustworthiness F partner,,warmth-trustworthiness self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.50,P,0.001,,320,vitality attractiveness F partner,,vitality-attractiveness self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.50,P,0.001,,320,status-resources F partner,,status-resources self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.40,P,0.001,,320,confidence-humor F partner,,confidence-humor self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.04,N,,1,320,vitality attractiveness F partner,,warmth-trustworthiness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.08,P,,1,320,status-resources F partner,,warmth-trustworthiness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.07,N,,1,320,confidence-humor F partner,,warmth-trustworthiness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.04,N,,1,320,warmth-trustworthiness F partner,,vitality-attractiveness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.05,P,,1,320,status-resources F partner,,vitality-attractiveness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.18,P,0.05,,320,confidence-humor F partner,,vitality-attractiveness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.13,P,,1,320,warmth-trustworthiness F partner,,status-resources self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.09,P,,1,320,vitality attractiveness F partner,,status-resources self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.16,P,,1,320,confidence-humor F partner,,status-resources self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.03,P,,1,320,warmth-trustworthiness F partner,,confidence-humor self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.04,P,,1,320,vitality attractiveness F partner,,confidence-humor self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.13,P,,1,320,status-resources F partner,,confidence-humor self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.20,P,0.05,,320,warmth-trustworthiness M partner,,warmth-trustworthiness self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.45,P,0.001,,320,vitality attractiveness M partner,,vitality-attractiveness self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.49,P,0.001,,320,status-resources M partner,,status-resources self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.30,P,0.001,,320,confidence-humor M partner,,confidence-humor self rating,,1,between people,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.02,N,,1,320,vitality attractiveness M partner,,warmth-trustworthiness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.11,P,,1,320,status-resources M partner,,warmth-trustworthiness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.15,N,,1,320,confidence-humor M partner,,warmth-trustworthiness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.03,N,,1,320,warmth-trustworthiness M partner,,vitality-attractiveness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.22,P,0.05,,320,status-resources M partner,,vitality-attractiveness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.11,P,,1,320,confidence-humor M partner,,vitality-attractiveness self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.02,P,,1,320,warmth-trustworthiness M partner,,status-resources self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.04,P,,1,320,vitality attractiveness M partner,,status-resources self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
8,.06,P,,1,320,confidence-humor M partner,,status-resources self rating,,,,1,1,2,,,,correlations based on data from 160 male and 160 female participants - rating from both,
